12        全球变化与海气相互作用21          xx所        某洋南部  GASI-02-IND-STSsum            海测330120160721135901-0800  102   路人甲                   GPS探空仪 CF-06-A
22STC083  120160721140142 073038.70S 1043052.51E  6  490.201-9-9.99 24.202  956.522  80.801   8.952 329.701 
22STC083  120160721140143 073038.95S 1043052.71E  6  494.801-9-9.99 24.172  956.022  80.701   9.042 329.501 
22STC083  120160721140144 073039.20S 1043052.82E  6  499.001-9-9.99 24.142  955.572  80.701   9.142 329.301 
22STC083  120160721140145 073039.53S 1043052.87E  6  502.901-9-9.99 24.112  955.142  80.601   9.232 329.201 
22STC083  120160721140146 073039.85S 1043052.95E  6  506.801-9-9.99 24.082  954.712  80.601   9.322 329.101 
22STC083  120160721140147 073040.21S 1043053.06E  6  510.801-9-9.99 24.042  954.292  80.701   9.402 329.001 
22STC083  120160721140148 073040.54S 1043053.20E  6  514.801-9-9.99 24.012  953.852  80.701   9.482 329.001 
22STC083  120160721140149 073040.82S 1043053.42E  6  518.801-9-9.99 23.972  953.422  80.801   9.552 328.901 
22STC083  120160721140150 073041.08S 1043053.61E  6  522.801-9-9.99 23.942  952.992  80.801   9.622 328.901 
22STC083  120160721140151 073041.33S 1043053.83E  6  526.801-9-9.99 23.912  952.552  80.701   9.682 328.801 
22STC083  120160721140152 073041.58S 1043054.00E  6  531.001-9-9.99 23.882  952.102  80.501   9.732 328.801 
22STC083  120160721140153 073041.83S 1043054.19E  6  535.201-9-9.99 23.862  951.642  80.401   9.782 328.701 
22STC083  120160721140154 073042.08S 1043054.35E  6  539.501-9-9.99 23.842  951.182  80.301   9.822 328.701 
22STC083  120160721140155 073042.37S 1043054.55E  6  543.901-9-9.99 23.822  950.702  80.101   9.862 328.601 
22STC083  120160721140156 073042.66S 1043054.71E  6  548.301-9-9.99 23.802  950.232  80.001   9.902 328.601 
22STC083  120160721140157 073042.98S 1043054.93E  6  552.601-9-9.99 23.782  949.762  79.801   9.932 328.501 
22STC083  120160721140158 073043.31S 1043055.15E  6  556.801-9-9.99 23.772  949.302  79.601   9.972 328.401 
22STC083  120160721140159 073043.63S 1043055.37E  6  561.001-9-9.99 23.762  948.862  79.301  10.002 328.201 
22STC083  120160721140200 073043.92S 1043055.59E  6  565.001-9-9.99 23.762  948.422  79.001  10.042 328.101 
22STC083  120160721140201 073044.17S 1043055.81E  6  569.101-9-9.99 23.762  947.982  78.601  10.082 328.001 
22STC083  120160721140202 073044.42S 1043055.98E  6  573.301-9-9.99 23.762  947.532  78.101  10.122 327.801 
22STC083  120160721140203 073044.68S 1043056.17E  6  577.401-9-9.99 23.762  947.082  77.501  10.162 327.701 
22STC083  120160721140204 073044.96S 1043056.33E  6  581.601-9-9.99 23.762  946.642  77.001  10.192 327.601 
22STC083  120160721140205 073045.29S 1043056.52E  6  585.601-9-9.99 23.772  946.212  76.501  10.232 327.501 
22STC083  120160721140206 073045.61S 1043056.74E  6  589.401-9-9.99 23.782  945.792  76.101  10.272 327.401 
22STC083  120160721140207 073045.97S 1043056.91E  6  593.101-9-9.99 23.782  945.402  75.801  10.302 327.301 
22STC083  120160721140208 073046.26S 1043057.13E  6  596.701-9-9.99 23.782  945.012  75.401  10.322 327.301 
22STC083  120160721140209 073046.55S 1043057.35E  6  600.401-9-9.99 23.782  944.622  75.001  10.342 327.201 
22STC083  120160721140210 073046.80S 1043057.57E  6  604.001-9-9.99 23.782  944.222  74.401  10.362 327.301 
22STC083  120160721140211 073047.09S 1043057.79E  6  607.801-9-9.99 23.792  943.822  73.701  10.382 327.301 
22STC083  120160721140212 073047.38S 1043058.01E  6  611.701-9-9.99 23.812  943.402  72.801  10.402 327.401 
22STC083  120160721140213 073047.63S 1043058.17E  6  615.701-9-9.99 23.842  942.982  71.901  10.422 327.401 
22STC083  120160721140214 073047.95S 1043058.36E  6  619.701-9-9.99 23.862  942.542  71.201  10.432 327.501 
22STC083  120160721140215 073048.24S 1043058.53E  6  623.701-9-9.99 23.882  942.112  70.701  10.452 327.501 
